BF_Name,BF_Acreage,x2,y2
General Steel Drum,5.8,1438959.21042623,525914.702628478
Roanoke River Barge,24,2669364.66496472,780591.717879727
Reliable Buff,2.39,1555277.14609697,453055.373281807
True Textile-Elkin (RN),77,1455988.68752205,913300.223459557
West Stonewall Street (RN),10.1,1447427.14132497,541621.304745391
ReVenture North,28.97,1403573.97017322,570475.672233388
North Graham Hopedale,10.24,1880405.68448688,854132.91528523
Aberdeen Tire,0.07,1871156.29517731,503149.043435484
CommScope Industrial -(RN),90.77,1343571.5038923,694659.894993067
Alamance Foods Facility,52.28,1874633.67897056,840899.654678315
Highland Park Mill,15.3,1454217.2570098,545173.464635804
Southern Wipers,5.2,1457777.42147739,547557.840444475
RTP 8 (RN),46.85,2035208.04253247,771176.900751397
Harding Place (RN),1.67,1451121.93872538,535978.176924065
Sonrise Industrial Center,55.878,2393174.40008913,986652.270980895
Central Avenue Apts (RN),1.84,1460516.00622331,540021.58287923
Rocky Mount Downtown Event Center,7.93,2357237.95982306,801070.660845637
Kinston Shirt Factory,7.54,2425818.92896006,552434.301820144
"Salt Wood, Former",2.31,2426021.5889878,555901.983533055
Camden Grandview,2.04,1448030.32253331,539956.839242309
Asheville Tannery,13,939893.949700475,683793.038445979
Sinclair Refining Company (RN),1.54,1460826.12010439,549966.321847975
Above The Fold,3.3,2106475.06633672,738137.954690307
Glen Raven Mills II,11.7,2420473.72475547,554493.366927728
Mount Hope II,2.95,1434204.34460789,539706.368286565
"Sealtest Dairy (RN), Former",1.51,1317306.69979472,719489.632078901
Smokey Hollow (RN),4.12,2105371.46585363,741962.771515727
Rocky Mount Mills,94.79,2354698.88255213,805633.066418975
Kaiser Fluids Tech II,4.43,1464710.59396271,551898.569623888
Klumac Rd II (RFRU),14,1558389.86100014,691162.458090305
Alcatel - (RN),23.12,2112622.11276963,754117.454555392
Harrington Street Redev - (RN),2.18,2105314.65330322,741119.455617055
Fountain Tire,1.9,2335761.28755338,169279.07305339
Metrolina Expo - (RN),101.35,1451503.73028463,576877.157133818
Gastonia Investments,22,1332581.45270972,566679.549576312
Morehead Street Redevelopment (RN),2.27,1445370.86984697,543011.73339498
Highland Mill #3 - North Brevard Street,0.58,1459420.48938547,549185.468094721
Warehouse District II,9.31,1631938.88516164,860015.523270637
Powers Site (RN),3.46,1441603.47810355,537258.394179896
Rite Aid (RN),47.87,1452476.09251314,549592.434800476
Asheville Industries II,10.59,951764.526024893,644543.485711649
Stork Boxmeer -RFRU (RN),6.98,1453034.91062123,559722.044462472
8th Street Landfill,5.57,1515914.93906039,643519.368009225
Wilmington Scrap Iron & Metal,1.35,2319653.27875897,181719.107556477
Heatcraft Facility,17.15,2322102.46250889,157048.557488233
Cannon Mills Village WWTP,118.96,1512735.53925122,644550.533597812
Southern Furniture,6.31,2114019.40689105,319267.496829227
B & H Sheet Metal,1.84,938902.476945892,688042.298648223
City of Washington Future Development,7.69,2577202.05795172,671478.515174806
Cleveland Ridge Apts (RN),16.26,1302493.35507764,548789.983649477
Natures Earth Pellets,28.2,1861788.66463439,381374.197746813
RiverLink Outdoor Adventure,1.42,936976.297071219,695856.267600313
Polk County Industrial Park,37.98,1057648.83656555,579219.389654055
Mt. Olive Industrial Park,39.44,2283690.60166872,535493.383274227
Yorkshire Americas II,43.84,1371620.97600847,565428.316186398
TXMO,3.8,1628907.26064748,859631.799300566
French Broad River Academy,3.15,930767.759619549,705334.400218815
R & S Textile Machinery,3.04,1442599.63523197,535793.042779893
Klumac Rd Property,14,1558870.26522306,690991.89314273
Dixie Machine and Tool Co,1.21,1754621.47214505,841652.173186391
Consolidated Warehouse -RFRU,15.76,1419799.31108205,561447.999015808
Alliance Carolina Tool - RFRU,7.51,950797.978089213,641692.252568975
Pilot Center,8,1571244.40320438,961142.735057816
High Point South Center,10.03,1708116.91029872,794030.602091148
WSECU Wet Pond,4.26,1634653.76555863,852453.311689064
Winston-Salem Police Firing Range,22.38,1595807.77599356,837777.225555733
Static Control,7.03,1956939.88049956,618233.390037984
Midway Park,50,2144771.59243381,747657.564916149
Shops on Innes,3.44,1567170.32145755,695539.382735401
Marshall Street,2.53,1632776.13283098,851309.640091896
Old Dominion Freight Line-Wilmington Terminal,5.16,2320547.67362373,155662.858816057
"Auto Top Manufacturing, Former",2.76,1445357.99585697,538678.815879732
Swannanoa Mini Storage,4.95,999648.3748108,691011.420006558
Paxar Facility -(RFR/RN),27.13,1242027.45730889,799870.348285645
Pugh Tire & Service Center,2.04,2482806.26577255,681669.857981056
War Memorial Stadium,14.08,1770386.74835722,848876.458278477
Stone's Warehouse,2.02,2109161.72959855,737129.199161887
Sidewalk Development,2.39,2482645.62042455,680957.616951481
Goler - Little Island,0.4,1632903.2303458,859293.303914562
Masonite Facility II,214,2274309.84483972,802289.504536554
West Chapel Hill Street BP,0.31,2024512.93400148,817789.327867568
Travis Knits - RN/RFRU,12.13,1284228.16949522,598020.88715598
B&K Coastal Malmo,26.39,2270714.11712305,188526.958113983
Carolina Foundry,0.74,1443491.76829022,536979.403268054
500 West Fifth Street III (RN),4.31,1630907.68742089,857136.522795066
Retreat @ Renaissance II (RN),11.13,2144975.40665872,809358.131475389
Paul Berry Chevrolet,9.34,2312620.97556639,718971.701356232
Southern Loop,5.88,1429795.76484239,501918.957312971
Capital Blvd Self Storage (RN),2.11,2106201.90120064,742774.935573816
Grey Hosiery Mill,1.103,968860.349772811,588468.677913979
South Elm Street,6.97,1766304.61839813,843101.12632522
Bloom Industrial,23.53,1552984.6106558,452580.242014229
Hawkins Street,1.66,1443525.64748755,535886.602960229
Creative Dyeing,8.86,1400200.39785214,569419.243900061
Pennston Site,78.07,1790945.13178106,882465.871086389
Highland Business Park,40.6,959927.578924477,680793.262293309
Revolution Mill Studios,25.47,1770147.22619846,856025.276657984
River Park,39.27,2169689.3457478,701751.200364232
Stanley Environmental,2.07,2033531.81196105,813292.295523062
Windsor Oil,2,2579498.85749197,773776.966745481
Centro,3.5,1444738.90752822,537817.061697721
Asheville Hardware,0.38,944496.279406548,689151.745248228
Auto Undertakers,2.3,968413.869038478,585145.978522643
Herff Jones Yearbook,10.36,1480123.83741438,511228.455426231
Crabtree Holiday Inn,4.5,2097587.06245922,759765.081383482
Carolina Sportsplex,47.77,1435039.7658373,482217.544288054
City Market,0.98,2108164.23421822,737605.569272146
AmerLink,9.63,2351361.93745439,846351.150993139
Carolina Auto Supply,1.44,1448373.08037797,543716.234610647
Norfolk Southern Intermodal Facility,18.23,1456704.58832122,547264.321018398
Anvil Knitwear II,14.9,1302838.83076464,554572.417294562
Coastal Lumber,24.77,2585644.03909922,503219.808057725
Erwin Square Renovation,7.42,2021738.70956305,821799.417944476
Winston Mutual Bldg,1.57,1636653.20348889,857841.918693975
Air Park,3.47,1636552.2939138,871368.59078756
Witten Lumber,3.72,1350316.88705505,558943.088015139
High Penn Oil Refinery,6.7,1727377.68444113,849467.899024725
Renaissance Place Apartment,2.17,1451361.38345647,544466.92142947
Southern Apartments,3,1443587.84880672,543231.046932727
NAD Labs,9.42,1419836.28804222,506790.491533145
Southern States Cooperative,2.09,2323955.98931363,714081.334824637
Carolina Creosoting Corp.,91,2290899.47110923,190497.249448985
Burlington Distribution,37.26,1731074.67704713,821486.006825894
"BASF, Former",56.64,914335.329886049,673488.971127644
Classic Coffee,16.96,1442798.51836438,557598.327581316
Town of Cary Public Works Facility,13.91,2031013.6605013,745674.91927515
Belgium Brewing,17.18,938321.150680721,687762.123355567
Family Dollar - LaGrange,0.99,2362821.8708993,567710.43596597
PCA International,15.96,1488940.99792963,502950.803674474
Noble Road,10,2109203.34598513,751047.533857971
Meck Bar Center,3,1442165.49043097,551598.243124813
Loftis / Blythe Construction,34.51,1456986.1727318,583917.615493804
Fuel Systems,3.94,1433056.97419922,558133.928216144
Goldtex Plant Facility,15.22,2303887.15445139,607039.19818756
North Tryon Commercial,6.62,1456194.07851547,549011.806040481
Spectrum Mills,32.63,1293930.31478906,557035.696488723
Hanesbrands Industrial Facility,29,1617433.65564197,852659.243363813
Davis Drive,50.05,2042406.58883089,781694.848219395
ReVenture West,329,1403087.71917722,567107.706200317
Edwards Property,2.13,1417269.85321447,577628.73240231
Fairview Road,3.44,948031.539068296,680226.685998648
"Adams-Millis Facility, Former",2.6,1701085.9345313,805176.228093818
Ecusta - Tract D,52.31,895483.749807134,573060.269754484
ReVenture East (RN),330,1404321.41520064,565570.572791651
Ecusta - Tract A,48.43,894729.141080141,572851.222272307
Ecusta - Tract B,102.53,895116.225607798,570987.296866313
Ecusta - Tract C,1.97,895129.240673631,571973.288988814
2000 Hawkins Street,1.03,1443787.27491705,537083.091380894
West Morgan,3.47,2102069.60467522,739784.575084731
800 Chatham Road,5.96,1629239.44338205,859398.814530313
Con-Agra (RN),106.22,2122662.42274147,715469.998057812
Patterson Mill,23,2396632.92204347,987645.052459896
West Kingston (RN),1.66,1444951.54030505,538208.981189474
The Mill Bldg at Erwin Square (RN),4.66,2022706.46976663,821836.240377396
Dean Hardwoods - New,11.07,2317351.29058081,183617.686764568
South John Street Project,5.18,2298555.00304222,592350.244625896
Carolina Medical Electronics (RN),6.24,1595160.50366606,918949.465769976
WSFX - New,2.08,2325280.60838355,174551.293480054
Kent Corner,3.61,2024452.35866331,817527.394664392
Liggett Apartments (RN),4.91,2027872.90529989,818377.263043389
Dollar General - Kinston,1.58,2425300.91162339,552023.384006813
Beaman Corp. (RN),27.04,1828116.35993189,777817.195869729
Morehead City Main (RN),1.54,2678412.4149138,362255.737296149
Fabrictex,14.416,1331751.06919989,648421.80046156
Pond Road Landfill,4.73,928222.260117382,673198.867049053
Edmunds Manufacturing,4.48,1763312.93802981,849638.503670394
Nu-Tread Tire Company,0.37,2029056.68934964,819598.482385725
Edison Project,2.83,2107621.95380671,737493.041610062
West Morehead Upfit,2.13,1439381.51174697,541826.692457974
Historic Biltmore Village II,1.26,947800.147470728,679924.751235068
Wilma Dykeman Riverway,0.28,939740.315821394,686869.30296272
Planters Oil Mill,7.03,2358077.65368173,795208.575128898
Fletcher Outpatient Medical Facility,9,955341.689474225,634783.789023727
Hollar Hosiery Mill,2.07,1309886.88359764,730717.481014222
Wesley Village II,2.9,1441637.33695972,544450.247250229
Pace Conservation Center,10.01,2709711.44713189,360103.266535476
Kings Arms,15.81,2484754.59750581,678155.354183316
Harris Auto & Body Shop,1.19,1452138.15355647,551801.400198817
Andale,153,1157825.38194697,581754.930186644
Union Carbide (RN),17.65,1434174.6258353,559606.811753318
Retreat at Raleigh (RN),23.81,2079901.50038947,740350.712731972
McGill Property,1.76,2004479.60562989,489077.454452723
Willard Lead ROW,0.18,1441012.4113723,532647.070397317
Clark Equipment,65.21,949328.384571716,648282.214126557
Sun Chemical - Charlotte,15.35,1420817.46029247,506112.95548664
University Nissian,3.21,1223028.81420389,910153.765841723
Mooresville Crossroads (RN),6.9,1445823.80562089,675859.776097313
Warehouse District (RN),2.41,2104841.08108763,738701.787552148
Morganton Heights (RN),103.675,1197937.54155189,730280.779131725
Durham Central Park Co-Housing Community,0.58,2029862.04961555,819011.099374145
BASF Facility Pender County,396.65,2299302.13048497,214421.340380222
Newman Machine,10.05,1763163.00361839,843836.126495644
Camden Square,0.89,1444190.9817868,536998.071865901
Pilot Mills,6.8,2107361.05800305,744479.990890726
Carolina Production Finishing Co.,7.4,949011.787763968,679445.62489672
Food Lion,4.37,1639641.7365538,846095.387068972
Dynatech,2.09,1441162.16993105,537505.434368223
Cumberland Shopping Center,2.67,1768832.95881389,846158.384646401
Singer Site,43,2564141.95775963,648572.41072464
City West Commons,4.73,1437712.58267014,539244.012255892
C.C. Dickson,2.84,1445745.0318283,538161.527216151
Terrell Machine,4.23,1441567.68289955,532376.291083232
Redman Homes (Barber & Ross),19.26,1939982.82550298,848033.009506062
Tartan Marine,10,1780933.40967855,409784.870912224
West Morehead,1.13,1443717.88332355,543691.291419059
Hillsborough Ventures,2.02,2095777.23832297,742406.755535901
National Textiles,32,1182619.88780406,728470.218120307
State Farm Road,5,1215019.04675889,904091.100473642
Lewith Textile,33,1431731.87087831,541570.545660555
Baldor Electric,5,1436207.27760988,531815.993319318
Oxford Printing,5,2115495.34357172,927928.970776811
Airport Exxon,0.56,1636414.6032443,869324.716922566
Cotton Mill Square,13.16,1748163.40304022,841375.961140394
Smith Property,0.97,1243462.86159031,571165.230237484
Vanier Graphics,3.68,1787375.36333005,1006735.36368865
Burlington Mills,39.29,1458931.48970731,669302.10909456
Flemington Landfill,65.47,2311821.68681064,193448.613624975
Alamac Knit Fabrics,106,2533762.86333422,799942.2861339
Anchor Mill,32,1452355.15968414,611494.039343476
Brown Solvent Co.,0.6,1441408.30526556,532989.511969641
Carolina Log Buildings,30,958171.735651389,629233.16200164
ABC Engravers (New PD),5.1,1441806.75066289,556793.607077897
East Park-Joal Realty,0.39,1454262.68638089,537732.890278146
East Park-Kossove,24,1454035.37023447,537697.992382064
Fishburne Equipment,2,950018.123349726,638222.219810888
Guilford Mills,36.64,1738256.73453338,840970.497384399
Southern Mfg.,9,1449102.93095239,547300.658872232
Alamac American,194,1999763.84668872,305884.649579227
Mallard Creek Road,21,1471650.4780488,583407.111593559
Burlington-Jamestown,22,1731924.1996263,822085.337320149
Cherokee Oil,2,1443497.37162547,542846.306232393
Smith Metal & Iron,6,1447187.47480956,544108.237763643
Erwin Square,6,2021984.82291597,822360.153043479
Hillsborough Addition,3.79,2095706.30145697,741968.21376206
Quality Metal Products,11,1328684.43130431,560155.91793856
Burkhart Carolina,21,2166330.96106039,941954.284917727
Sanford  WWTP,22.8,1940297.62605447,633454.712285563
East Park -Boyer,0.39,1454231.75960547,537511.845116556
Central Park Landfill,7.23,1633914.99866347,851700.542197227
East Gannon Properties,1.75,2203440.61321889,755639.507613644
General Wood Facility,120,2279674.96567114,183535.90543206
Kidd Lane Battery Disposal,1,1440503.68338713,578615.507987812
Bouligny Site,3.5,1458608.94409256,547289.775691897
Elk Mountain Landfill,156,934336.398151547,707412.590616226
Guilford Mills - W. Market St,19.8,1741369.04655021,844451.501905307
Alpha Mills,5.77,1453280.48263663,544365.689348474
East Park-Dorothy Hall,0.8,1453755.72807722,537967.97379747
Salem Uniform,2.53,1626959.78980489,872633.549543723
Archdale Marketplace,13,1439471.88591005,516533.473031387
Historic Cotton Mill,2.63,938954.321330383,688353.326241389
South Tryon Street,2.88,1442587.24450871,537363.652499557
Camden Road,0.25,1445264.88646314,538232.483767137
East Park-Craver,0.65,1454617.98553905,537755.675993726
Rusak Property,1.21,1439883.80437756,533876.889788061
Andrex Industries,9,925957.105526969,685685.868977889
Wilson Landfill WWTP,14,2322094.14231555,714270.971584484
Home Depot - South Boulevard,12,1438967.72254831,523684.158861235
Don Christian Property,0.5,1979490.31866631,786241.002184808
Charlotte Tank Trucks,2.23,1440319.09615789,545177.857343554
Parker-Hannifin,33,2136587.04449847,814334.137599483
Schlage Lock Facility,49.15,2365003.57290073,829952.860627055
Allison Manufacturing,18.93,1640389.56018938,582367.691756397
Chester Street-City of Gastonia,0.64,1347152.04725614,559636.363859564
V.F. Site,5.99,1455206.81736663,756511.175489724
Model Linen,0.5,1766053.62119672,844001.286926478
American Cyanamid,4.1,1433888.65757522,541512.259359807
Gateway at Old Salem,51,1633106.39168489,850294.843236983
Dayco Facility,35.94,806530.124565139,649017.309113055
Griffith Street Property,14.23,1446484.71440405,642537.310262054
Stoneville Furniture,22.5,1733121.27826889,988475.627242312
Cultural Arts Center,3.6,2356309.74547213,801746.974125564
Reeves Site,20,1475637.2751933,574773.266656563
"Fulflex, Inc.",20,2467772.07832131,867235.597741231
PPD,8,2317380.7787108,182058.013374731
"L.I. Building, LLC",53.52,1895996.47942072,849307.356038734
Alcan Packaging Food,9,1421725.73636305,506256.032956392
Fontaine Fifth Wheel,5,2351082.01183313,783898.094797149
ECC (Electronic Components Corp),5,2323164.56635581,290569.458424896
Flynt Fabrics Mill Property,9.8,1966906.67126147,845627.98249197
Conbraco Facility,6.42,1488483.59333263,503387.659756139
Florence Mill,8.2,1145633.22621322,588093.674726978
Scotland Memorial Hospital,4.31,1858893.29444088,372998.162661642
Canac Kitchens,27.3,1429335.42291531,749247.232668564
Industrial Plastics Inc.,17.77,1796656.27160548,840484.687332392
Arrow Laundry & Cleaners,16.5,1468204.90554364,530481.879517734
